course_key,course_name,module_key,hk,sub_hk,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",easy,single_choice,Welche Aussage beschreibt persönliche Schutzausrüstung im Schreinerberuf am besten?,"sie schützt vor Augen-, Gehör-, Atem- und Fussverletzungen",sie ersetzt jede Maschinenschulung im konkreten Auftrag,sie macht Ordnung am Arbeitsplatz unnötig im laufenden Tagesgeschäft,sie dient nur dem einheitlichen Auftreten,A,"PSA reduziert konkrete Gesundheits- und Unfallrisiken, ersetzt aber keine weiteren Sicherheitsmassnahmen.","Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",medium,single_choice,Worauf muss man beim Thema persönliche Schutzausrüstung in der Praxis besonders achten?,sie ersetzt jede Maschinenschulung im üblichen Berufsalltag,"sie schützt vor Augen-, Gehör-, Atem- und Fussverletzungen",sie macht Ordnung am Arbeitsplatz unnötig,sie dient nur dem einheitlichen Auftreten,B,"PSA reduziert konkrete Gesundheits- und Unfallrisiken, ersetzt aber keine weiteren Sicherheitsmassnahmen.","Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",hard,single_choice,Welche Aussage zum Thema persönliche Schutzausrüstung passt fachlich am besten?,sie ersetzt jede Maschinenschulung im Werkstattumfeld,sie macht Ordnung am Arbeitsplatz unnötig im Produktionsalltag,"sie schützt vor Augen-, Gehör-, Atem- und Fussverletzungen",sie dient nur dem einheitlichen Auftreten,C,"PSA reduziert konkrete Gesundheits- und Unfallrisiken, ersetzt aber keine weiteren Sicherheitsmassnahmen.","Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",easy,single_choice,Welche Aussage beschreibt korrektes Heben von Platten im Schreinerberuf am besten?,Last mit rundem Rücken ruckartig anheben,Platten allein über Kopfhöhe tragen unter typischen Arbeitsbedingungen,Hebegriffe wegen Zeitdruck weglassen,Last nah am Körper führen und Hilfsmittel einsetzen,D,"Ergonomisches Heben und Hilfsmittel schützen Rücken, Hände und Material.","Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",medium,single_choice,Worauf muss man beim Thema korrektes Heben von Platten in der Praxis besonders achten?,Last nah am Körper führen und Hilfsmittel einsetzen,Last mit rundem Rücken ruckartig anheben,Platten allein über Kopfhöhe tragen bei sachgemässem Ablauf,Hebegriffe wegen Zeitdruck weglassen,A,"Ergonomisches Heben und Hilfsmittel schützen Rücken, Hände und Material.","Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",hard,single_choice,Welche Aussage zum Thema korrektes Heben von Platten passt fachlich am besten?,Last mit rundem Rücken ruckartig anheben,Last nah am Körper führen und Hilfsmittel einsetzen,Platten allein über Kopfhöhe tragen bei vergleichbaren Aufgaben,Hebegriffe wegen Zeitdruck weglassen,B,"Ergonomisches Heben und Hilfsmittel schützen Rücken, Hände und Material.","Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",easy,single_choice,Welche Aussage beschreibt Lerndokumentation im Schreinerberuf am besten?,nur fertige Noten sammeln bei sachgemässer Ausführung unter typischen Arbeitsbedingungen,private Termine dokumentieren im üblichen Berufsalltag,"Arbeitsschritte, Erkenntnisse und Nachweise nachvollziehbar festhalten",Werkzeuglisten ohne Bezug ablegen nach gängiger Praxis,C,Die Lerndokumentation zeigt Lernfortschritt und unterstützt Reflexion und Prüfungsvorbereitung.,"Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",medium,single_choice,Worauf muss man beim Thema Lerndokumentation in der Praxis besonders achten?,nur fertige Noten sammeln im laufenden Tagesgeschäft,private Termine dokumentieren im Werkstattumfeld bei sachgemässem Ablauf,Werkzeuglisten ohne Bezug ablegen im Produktionsalltag,"Arbeitsschritte, Erkenntnisse und Nachweise nachvollziehbar festhalten",D,Die Lerndokumentation zeigt Lernfortschritt und unterstützt Reflexion und Prüfungsvorbereitung.,"Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",hard,single_choice,Welche Aussage zum Thema Lerndokumentation passt fachlich am besten?,"Arbeitsschritte, Erkenntnisse und Nachweise nachvollziehbar festhalten",nur fertige Noten sammeln nach gängiger Praxis bei vergleichbaren Aufgaben,private Termine dokumentieren unter typischen Arbeitsbedingungen,Werkzeuglisten ohne Bezug ablegen im Rahmen der Routine,A,Die Lerndokumentation zeigt Lernfortschritt und unterstützt Reflexion und Prüfungsvorbereitung.,"Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
schreiner,Schreiner/in EFZ,sch_l01,HKB1,L01,"1. Semester VP: Arbeitswelt, Sicherheit, Dokumentation und Projektion",easy,single_choice,Welche Aussage beschreibt Regierapport im Schreinerberuf am besten?,einen Montageplan ersetzen im Produktionsalltag bei sachgemässer Ausführung,"Zeit, Material und ausgeführte Arbeiten für eine Abrechnung erfassen",nur die Kundenzufriedenheit bewerten bei sachgemässem Ablauf,ausschliesslich Maschinenfehler melden im normalen Werkstattbetrieb,B,Regierapporte dienen als nachvollziehbare Grundlage für Aufwand und Verrechnung.,"Bildungsplan Schreiner/in EFZ, VSSM/SBFI; Schullehrplan Schreiner/in EFZ, BWZ Lyss",https://www.vssm.ch/sites/default/files/vssm/berufsbildung/schreiner_efz/bildungsplan_efz.pdf
